Name,Use Case,Price,URL,Platform
Infield,Infield is a WordPress blog theme with baseball fans in mind. Featuring a vibrant color palette and sporty details that will make your blog stand out from the crowd.,Free,https://wordpress.com/theme/infield?tab_filter=all&tier_filter=free,WordPress
LowFi,LowFi is a simple blog theme with lo-fi aesthetics. Its narrow column layout is optimized for seamless browsing on mobile devices.,Free,https://wordpress.com/theme/lowfi?tab_filter=all&tier_filter=free,WordPress
Nook,"Nook is a blog WordPress theme featuring a classic two-column layout with a sidebar. The design is elegant and timeless, with a sense of warmth and familiarity, offering a delightful canvas for your DIY projects, delicious recipes, and creative inspirations.",Free,https://wordpress.com/theme/nook?tab_filter=all&tier_filter=free,WordPress
Bedrock,"Inspired by the iconic worlds of Minecraft and Minetest, Bedrock is a blog theme that reminds the immersive experience of these games.",Free,https://wordpress.com/theme/bedrock?tab_filter=all&tier_filter=free,WordPress
Strand,"Strand is a blogging theme for writers who want to publish a newsletter, featuring sticky left column with a prominent subscription form for a hassle-free reader engagement.",Free,https://wordpress.com/theme/strand?tab_filter=all&tier_filter=free,WordPress
Allez,Allez is the perfect theme site for sports practitioners or fans who want to blog about their sport.,Free,https://wordpress.com/theme/allez?tab_filter=all&tier_filter=free,WordPress
Assembler,"Assembler is a simple, minimal theme that supports full-site editing and global styles. Use it to build something beautiful.",Free,https://wordpress.com/theme/assembler?tab_filter=all&tier_filter=free,WordPress
Pomme,Pomme is a simple portfolio theme for painters.,Free,https://wordpress.com/theme/pomme?tab_filter=all&tier_filter=free,WordPress
Twenty Twenty-Four,"Twenty Twenty-Four is designed to be flexible, versatile, and applicable to any website. Its collection of templates and patterns tailor to different needs, such as presenting a business, blogging and writing or showcasing work. A multitude of possibilities open up with just a few adjustments to color and typography. Twenty Twenty-Four comes with style variations and full page designs to help speed up the site building process, is fully compatible with the site editor, and takes advantage of new design tools introduced in WordPress 6.4.",Free,https://wordpress.com/theme/twentytwentyfour?tab_filter=all&tier_filter=free,WordPress
Ritratto,"Besides an appreciable headshot, the theme offers large titles, descriptions, and links right away. There is also a grid of posts, and no Post Feature Images are used anytime.",Free,https://wordpress.com/theme/ritratto?tab_filter=all&tier_filter=free,WordPress
Sunderland,"Sunderland is a simple WordPress event theme designed for announcing upcoming events in a visually captivating way. Sunderland’s character lies in its immersive landing page, with an easily switchable full width background image. Sunderland is the ideal choice for bands, musicians, artists or event organizers who want a sleek and eye-catching website to inform and engage their audience.",Free,https://wordpress.com/theme/sunderland?tab_filter=all&tier_filter=free,WordPress
Foam,"Foam is a WordPress event theme with a vibrant, straightforward style. Entirely customisable, Foam allows you to present an event in a visually appealing way. Foam features a set of useful event patterns and essential templates.",Free,https://wordpress.com/theme/foam?tab_filter=all&tier_filter=free,WordPress
Alter,"Alter is a lean theme for bloggers that goes directly to the point, showing text-only posts right above the fold ornamented by a single image to compound the style.",Free,https://wordpress.com/theme/alter?tab_filter=all&tier_filter=free,WordPress
Creatio 2,"Creatio 2 is a simple, minimal theme that supports full-site editing and global styles. Use it to build something beautiful.",Free,https://wordpress.com/theme/creatio-2?tab_filter=all&tier_filter=free,WordPress
Luce,"Luce is a simple resume and blog theme with bright personality. Whether you want to start a personal blog or showcase your writing portfolio, Luce is the theme for you.",Free,https://wordpress.com/theme/luce?tab_filter=all&tier_filter=free,WordPress
Texty,Texty is a text-only blog theme based on Post excerpts rather than Titles and Post Feature Images. It’s a remix of a theme called Issue and it has a bunch of colorful variations.,Free,https://wordpress.com/theme/texty?tab_filter=all&tier_filter=free,WordPress
Dawson,"Dawson is a WordPress portfolio theme specifically tailored for photography. With a two column layout, the theme is ideal for those looking to build a portfolio website. Additionally, Dawson offers five distinct style variations, providing a wide range of aesthetic options to choose from.",Free,https://wordpress.com/theme/dawson?tab_filter=all&tier_filter=free,WordPress
Ron,"Ron is a blogging theme designed with a focus on delivering an exceptional reading experience. Its offset post layout and sticky post navigation make it stand out. By intentionally omitting a header, including only a footer, Ron allows readers to dive straight into the content without distractions.",Free,https://wordpress.com/theme/ron?tab_filter=all&tier_filter=free,WordPress
SND,"SND is a minimal newsletter theme. With prominent subscribe section, and a spot for reader reviews, SND has everything you need to start your newsletter.",Free,https://wordpress.com/theme/snd?tab_filter=all&tier_filter=free,WordPress
Overlaid,Overlaid is a neat theme that displays large titles and post excerpts that scroll over an image on the Homepage. Its blog post pages are crafted especially for users who want their writings to be simple yet beautiful.,Free,https://wordpress.com/theme/overlaid?tab_filter=all&tier_filter=free,WordPress
DOS,DOS is a blog theme designed for the nostalgic ones — as a tribute to the folks that invented computing as we know it today. An exciting opportunity to test blogging as if we were back again to the green (or amber) phosphor.,Free,https://wordpress.com/theme/dos?tab_filter=all&tier_filter=free,WordPress
Mpho,"Mpho is a minimalist single column theme that draws inspiration from short-sized posts and social networks. It prioritizes the post content and author, featuring a header with the author’s bio and profile picture.",Free,https://wordpress.com/theme/mpho?tab_filter=all&tier_filter=free,WordPress
Reverie,"Reverie is a theme inspired by the work of Mark Rothko. It features four style variations for each season — Spring (default), Summer, Fall, and Winter. Use it to illuminate your prose, poetry, stories, photos, and more.",Free,https://wordpress.com/theme/reverie?tab_filter=all&tier_filter=free,WordPress
Entry,"Entry is a uniquely styled WordPress block theme designed for journalling. It features a grid layout and blocky layout for posts, with every element contained in squared or rectangular shapes. Its impactful design is sure to make a statement, while its customizable templates offer a range of options for creating a truly unique journaling experience.",Free,https://wordpress.com/theme/entry?tab_filter=all&tier_filter=free,WordPress
Didone,"Didone draws inspiration from a genre of serif typeface that originated in the 18th century and became the standard style for general-purpose printing. It is bold, straightforward and timeless, designed to bring attention to the content and ideal to those looking to showcase written content elegantly.",Free,https://wordpress.com/theme/didone?tab_filter=all&tier_filter=free,WordPress
Luminance,Luminance is a captivating blogging theme with a confidently opinionated design and typography. Its unique and somewhat brutalist aesthetic compliments the abundance of post titles with featured images slammed against the canvas.,Free,https://wordpress.com/theme/luminance?tab_filter=all&tier_filter=free,WordPress
